Categoria       Venitul        Ianuarie       Februarie      Martie         Aprilie        Mai            Iunie          Iulie          August         Septembrie     Octombrie      Noiembrie      Decembrie      
least           2793440.32     319765.50      168927.00      206370.72      181370.51      319288.86      358905.16      339651.66      139508.70      146338.57      236187.98      246020.16      131105.50      
account         2793169.17     335615.52      238672.48      70382.14       184841.71      206171.94      61210.35       261997.74      231767.10      375212.55      314530.80      148387.30      364379.54      
art             2784551.45     276154.93      184905.64      124261.33      274401.67      285079.27      154300.46      101881.90      256891.99      234862.90      234570.16      218580.46      438660.74      
one             2783144.94     193213.06      73143.33       270329.56      375041.22      281071.13      235585.82      369786.83      194592.01      193666.60      175781.98      261707.33      159226.07      
either          2782603.23     407293.92      311232.78      257418.91      307573.20      277905.11      23182.29       71501.48       214932.78      172312.06      155558.87      239625.25      344066.58      
strategy        2781624.33     354545.19      225192.31      170285.35      123332.42      239867.30      200013.52      307064.42      342732.88      322037.00      225269.71      73238.10       198046.13      
none            2780325.53     141454.13      266265.04      266395.62      158958.64      273298.71      402871.67      211420.41      159206.22      129855.23      126753.49      235557.81      408288.56      
theory          2780117.95     68989.81       158072.29      494922.59      126798.75      233128.61      145742.50      233823.16      412613.64      64678.95       204846.75      241738.53      394762.37      
direction       2779531.63     149970.94      299301.40      343445.39      111517.43      339304.04      275234.68      390865.62      327896.23      174919.93      182144.33      134599.33      50332.31       
fear            2775725.46     132735.65      105886.72      319795.15      87634.26       353872.31      238450.37      323871.72      211160.14      115355.10      312190.45      273050.51      301723.08      
keep            2772089.49     235445.36      121126.36      364666.18      121044.82      225462.25      197128.81      64685.69       243443.65      436668.52      156871.78      379337.35      226208.72      
thing           2770201.01     302529.95      298073.98      140009.54      368066.08      112381.78      243694.86      262518.45      199601.92      219010.93      331783.24      79159.41       213370.87      
film            2769473.72     480709.37      111916.49      72694.05       142617.84      316253.76      431541.62      278006.22      419976.01      22900.87       73761.75       161022.86      258072.88      
anyone          2766072.18     149966.75      223491.19      83017.63       52343.59       361057.86      229343.19      128701.85      268102.68      224109.83      395372.15      332147.91      318417.55      
fund            2761716.59     250078.34      125123.51      118280.20      257995.08      438480.78      263024.38      277355.07      363530.78      175738.32      163156.31      213921.50      115032.32      
step            2758890.22     355809.87      430122.17      231891.02      93243.24       351391.50      221219.27      189071.53      350376.60      87482.24       116878.28      113388.12      218016.38      
civil           2758415.11     248462.78      183630.56      253754.63      330251.18      138182.97      142539.84      82383.70       193901.88      403133.84      247523.76      194128.09      340521.88      
before          2756544.70     351722.82      192978.54      282528.95      107674.95      497736.89      152356.34      283446.39      82979.60       307843.72      151244.31      234707.42      111324.77      
dog             2754812.04     235047.32      281820.21      158391.11      100932.52      284509.47      259985.99      344242.45      231614.58      280649.78      154367.76      262353.86      160896.99      
so              2747562.78     97891.26       356445.87      288854.14      240005.75      110546.01      107149.09      391449.98      245919.94      113273.36      260314.78      319901.81      215810.79      
finally         2746808.10     235123.65      255016.34      315724.83      247917.63      116266.19      142103.23      354870.31      364876.85      228297.61      154361.37      95531.10       236718.99      
camera          2746737.16     283024.72      257358.19      309315.81      27484.64       354907.91      230580.63      253808.90      146100.28      435315.71      59209.75       205387.29      184243.33      
audience        2744026.11     203913.47      214329.44      280965.13      222153.05      170921.73      227016.30      116607.75      520420.63      281520.47      229745.74      251514.40      24918.00       
purpose         2742867.84     197810.97      264155.97      492974.77      94612.01       237720.95      201554.05      160480.29      177132.32      86623.97       245930.41      224527.11      359345.02      
themselves      2742834.98     220110.60      170624.46      179845.30      244009.36      112799.92      241206.07      233158.55      493264.93      325134.31      221773.42      107176.35      193731.71      
onto            2740866.56     323192.23      388106.85      96525.40       143917.22      219087.14      223871.73      196355.02      377226.89      69885.14       395107.38      170859.91      136731.65      
how             2740463.99     355001.57      177802.69      342031.43      283800.44      193307.29      209476.92      212083.97      193233.15      70674.66       342120.37      138668.36      222263.14      
price           2740411.01     146973.58      183870.84      190211.77      280153.97      249541.62      326222.57      95958.82       297097.18      352390.50      192009.95      102643.29      323336.92      
likely          2735495.82     117856.66      150124.62      351935.52      286603.98      306959.05      241884.74      17699.73       272162.94      187751.52      66123.08       249424.59      486969.39      
give            2734665.30     380395.25      103968.90      167410.04      248682.29      335508.31      184461.11      126751.09      260072.18      55681.68       303890.51      269010.48      298833.46      
Mrs             2729911.24     128661.42      200576.85      224885.49      300377.28      366910.04      236203.69      345909.68      231450.81      318713.13      236926.04      76989.50       62307.31       
at              2727680.52     559688.55      179280.99      126379.78      236444.23      391578.65      343475.25      188311.95      193361.99      91529.47       101703.43      268938.87      46987.36       
according       2726015.38     90359.23       394982.37      493434.74      62150.52       279194.38      233191.22      128385.77      312808.42      150640.29      163946.06      185727.95      231194.43      
quite           2722929.90     239167.97      304509.98      170848.28      283098.08      184952.31      313074.17      123236.68      250643.79      301718.10      232942.82      162939.50      155798.22      
those           2715911.02     237806.78      120791.01      141445.34      360777.39      253101.28      255819.78      107072.74      465880.93      172200.79      79256.55       234472.36      287286.07      
better          2713581.68     290805.26      215384.01      133393.81      261603.41      197491.91      146242.46      192514.41      181268.00      338286.02      238916.67      106555.60      411120.12      
enough          2713194.81     221144.94      119873.85      140952.86      375548.23      450070.09      238568.50      244107.71      167436.46      181978.41      158729.82      94494.42       320289.52      
herself         2712670.58     174914.38      215608.07      165867.37      37977.10       244733.14      374996.93      233119.48      331645.17      329534.27      169266.88      260390.49      174617.30      
city            2709286.71     236156.22      328421.32      36089.85       247670.83      254400.03      182350.60      114841.45      190830.84      421486.89      299202.81      175954.31      221881.56      
practice        2702471.84     361549.87      134289.55      259826.13      85866.04       205413.75      394721.04      152296.16      272995.70      244648.93      330427.79      67970.83       192466.05      
participant     2694271.84     270600.80      177304.78      243226.01      94384.77       308736.43      57236.86       304329.95      285770.29      149496.94      384235.05      167938.83      251011.13      
determine       2688727.08     333944.23      253855.88      295556.67      100027.23      273859.12      381548.93      129297.41      245414.40      210158.75      309045.79      137676.17      18342.50       
politics        2686085.22     337120.53      127617.33      237762.77      136696.95      346700.30      98136.04       197014.89      387663.11      113177.28      249950.52      146941.60      307303.90      
report          2682563.06     172821.75      206425.74      214501.96      188697.72      281518.12      196794.26      532348.60      351490.73      135218.17      164146.97      47820.07       190778.97      
structure       2679451.56     177472.41      206933.07      534961.43      28264.53       230957.56      163212.01      253479.68      148228.87      285858.62      104307.88      209378.02      336397.48      
conference      2675283.03     227523.18      284208.15      229511.68      168622.08      245630.69      92757.11       214892.34      346075.01      122735.77      362600.40      247381.14      133345.48      
policy          2673541.22     84771.83       200133.72      316994.69      98510.97       84264.89       485318.66      453573.00      176936.86      230948.16      71004.77       197552.44      273531.23      
food            2670151.71     141467.09      117174.82      209505.26      79852.11       210725.67      285416.10      328707.37      147310.52      238769.48      393100.78      226121.64      292000.87      
performance     2660856.80     412481.91      239684.70      118230.97      122123.65      277874.25      122072.99      79049.63       191490.04      260993.36      258641.20      358314.21      219899.89      
thought         2660235.79     90460.82       227843.14      123045.43      372605.09      213441.81      281756.52      263583.29      203643.76      133947.58      180856.86      342893.42      226158.07      
individual      2658969.06     318057.91      95907.95       205123.65      207934.25      298631.77      223530.16      116729.36      208880.88      348527.18      276551.26      38936.19       320158.50      
window          2658934.14     366011.65      241845.67      153167.48      131747.51      297469.37      251739.59      129519.05      248973.71      158423.56      271552.19      192870.45      215613.91      
reason          2656215.05     257510.05      95373.53       165846.40      314114.86      267893.27      547814.53      385888.16      60688.67       99851.42       52446.87       218347.52      190439.77      
school          2655099.64     187550.89      52312.78       147611.88      252495.28      156947.73      333516.64      347404.73      324117.57      240289.14      215446.29      166095.43      231311.28      
writer          2651397.72     211536.86      335921.14      112467.53      114369.02      420173.51      222803.25      443420.39      89592.94       197612.82      164524.41      187596.70      151379.15      
care            2648047.07     244766.58      226700.91      132967.09      312671.19      188423.61      211525.35      269445.35      108394.12      62902.96       386696.27      286869.23      216684.41      
similar         2643703.73     197618.18      152290.70      41823.82       238152.72      240628.62      287486.02      370974.02      259454.51      201814.95      187605.58      318791.79      147062.82      
true            2642083.87     388461.76      245753.59      322384.34      152714.45      168960.10      173480.43      205561.45      230208.06      190504.46      207899.55      96827.72       259327.96      
too             2640627.60     349153.62      137139.81      267922.38      151793.05      130124.61      193652.78      152235.47      456529.50      190968.43      251232.37      180818.14      179057.44      
suddenly        2640075.42     353784.99      278970.91      93800.54       242191.29      340768.52      135421.26      371449.34      203338.28      59006.36       250117.55      132568.46      178657.92      
floor           2633526.10     270179.32      240710.80      396635.07      216066.83      150201.53      106900.05      187419.38      108580.34      199818.96      381783.32      112489.57      262740.93      
think           2630559.93     180342.77      251290.14      300877.03      120688.20      260712.87      147691.03      474468.19      94298.15       155508.85      369827.19      94954.65       179900.86      
simply          2626147.68     225664.89      310799.73      114566.73      349212.87      150328.35      188495.49      257167.99      242005.43      115184.29      293839.20      128030.42      250852.29      
development     2623549.63     303685.95      224888.20      103073.10      80378.80       272258.79      215160.69      429778.85      282429.49      194415.53      190655.85      100826.73      225997.65      
measure         2622194.78     270711.71      98767.08       297178.76      240370.20      182538.77      289912.13      212669.99      142723.70      197818.03      207605.64      156469.62      325429.15      
society         2622069.68     192728.35      83378.41       127657.44      279237.58      181006.86      364883.04      189610.34      262074.85      226679.30      376483.14      175068.46      163261.91      
adult           2620999.90     253342.70      75983.06       198374.62      121474.42      288307.47      271301.80      201123.27      97883.21       48282.03       372183.95      311087.00      381656.37      
realize         2618050.79     131256.31      122406.64      259105.35      136264.29      228919.90      256537.39      161709.81      177935.81      381791.62      336982.57      293715.28      131425.82      
decade          2618013.39     253050.43      228047.39      205638.94      186264.43      12077.43       306337.59      235241.45      209212.45      177514.22      315623.49      259262.36      229743.21      
guy             2617188.72     257757.31      157756.57      156080.80      62507.37       354829.27      279711.78      140249.00      527943.30      133508.32      83737.48       126268.12      336839.40      
around          2615671.48     202449.76      243170.73      262563.35      125652.60      212915.92      307455.74      248720.48      284668.43      61370.88       208544.13      171146.52      287012.94      
nearly          2615406.21     187519.90      132035.39      407209.92      108026.97      232106.79      332595.83      50760.24       234355.30      350151.27      245819.18      226190.05      108635.37      
between         2614609.35     295617.38      6320.90        208144.82      138829.72      174074.25      245187.93      339918.94      270601.40      189798.61      320942.62      137514.51      287658.27      
lay             2614120.63     185881.64      260208.59      282235.55      322783.56      181800.59      101414.81      225558.86      108241.03      287161.83      263924.04      180796.89      214113.24      
son             2612972.98     462490.45      120719.58      191951.07      238555.04      203026.15      167636.68      116328.80      130643.90      326151.80      159724.77      246124.10      249620.64      
house           2611365.70     87695.00       122411.49      102011.52      289949.00      205103.03      172080.32      168117.70      270842.62      308804.23      243350.94      274388.96      366610.89      
bar             2610350.32     155051.60      158080.41      182162.89      293877.85      221167.64      297814.48      147661.35      119611.81      259736.34      456797.35      112037.27      206351.33      
several         2607519.88     199735.13      255676.92      143254.53      354085.47      242477.32      313362.94      82133.90       146497.94      234137.29      283706.28      94503.29       257948.87      
notice          2605331.56     210123.78      288652.01      263621.22      233965.88      110491.31      342154.16      158341.93      271311.29      163744.08      192274.61      201544.55      169106.74      
suggest         2603513.40     184479.10      312624.52      317514.18      171642.32      135982.02      88783.91       292192.56      99974.35       260794.40      363340.32      317078.23      59107.49       
tax             2601983.76     272538.86      169633.30      219132.08      162453.57      173007.04      241771.43      420018.18      189264.41      231738.14      186531.63      66722.09       269173.03      
about           2600822.97     47348.72       373500.61      264708.47      253248.51      165701.46      246003.15      392163.73      112929.09      137126.75      332468.07      139363.91      136260.50      
nothing         2597005.45     32565.07       239138.48      342457.02      272105.27      47051.59       288864.15      133245.31      282044.95      383007.64      169218.73      218487.09      188820.15      
say             2595620.74     252929.71      181258.08      337740.46      229833.70      216595.38      205725.12      163950.77      188733.30      219829.98      189835.21      273363.54      135825.49      
low             2591727.87     113927.57      142791.43      209602.53      143944.95      253238.13      278077.51      369050.63      273546.18      123544.84      362804.12      109309.73      211890.25      
serve           2589879.62     263763.99      193432.12      300026.57      273550.08      347420.08      102345.43      141213.68      86463.17       130845.46      338791.26      281809.16      130218.62      
check           2588484.95     317045.90      210828.16      27892.37       114616.30      208421.15      682443.46      83265.43       212374.48      67659.74       353940.05      190897.68      119100.23      
whose           2586930.42     234835.32      218547.42      133168.77      204332.27      277059.02      95860.55       244631.50      56290.42       250884.08      184575.73      176826.43      509918.91      
citizen         2585691.07     32641.45       261566.47      450562.10      72303.89       210434.36      185986.91      355533.25      248699.29      181225.75      192111.96      253491.20      141134.44      
develop         2583223.93     58505.15       218547.76      162821.06      61325.43       205131.89      260898.75      345702.14      289712.23      129425.45      348770.61      243672.03      258711.43      
institution     2579559.46     86214.19       350908.75      176571.03      151536.20      214870.47      197567.67      295930.02      98877.78       214228.20      179566.53      299387.05      313901.57      
bring           2579133.42     360885.89      81998.75       114252.63      164209.01      281443.06      201980.09      125616.39      177094.32      221316.33      310087.55      148927.17      391322.23      
television      2578590.71     233315.80      314558.71      152898.33      194726.68      277960.17      280158.60      162486.67      271968.84      186043.82      100109.38      108639.15      295724.56      
magazine        2578520.17     332801.89      272764.36      236333.98      232549.08      31774.65       290870.83      117952.76      113304.57      379912.48      177209.89      105390.60      287655.08      
must            2577643.23     174972.90      134966.83      119785.78      100895.37      446730.38      236412.59      226823.86      150246.06      370155.50      182389.59      146845.87      287418.50      
record          2573096.65     254281.95      331496.82      93837.39       415520.56      212306.02      146118.65      342753.13      174456.81      33608.54       262799.89      39939.86       265977.03      
detail          2572870.62     336157.50      166233.40      388283.33      209165.78      123220.17      425115.38      102680.61      130014.34      157977.85      238993.76      166203.39      128825.11      
recently        2572794.38     186725.42      32926.32       209334.94      218815.61      200371.04      424300.74      62191.72       520483.61      104109.43      122814.02      379625.96      111095.57      
most            2572341.24     57806.18       215545.90      108776.08      243862.14      330386.47      355979.58      181680.24      120525.54      402652.98      144745.69      272640.89      137739.55      
color           2571678.68     176070.59      233661.56      160847.80      435600.91      454246.75      99529.33       193050.94      73389.34       298775.01      237956.94      83228.90       125320.61      
event           2571244.22     258041.70      94609.20       133750.09      181826.35      159787.35      143891.45      388366.70      149995.85      356952.50      180037.96      223711.16      300273.91      
seat            2570966.24     167406.82      263707.01      319565.02      289409.33      275049.08      172861.41      267318.57      286794.75      170263.95      92430.58       133220.75      132938.97      
education       2570592.13     254111.54      192736.96      167976.09      114122.50      235928.12      316802.67      344101.15      238107.75      133601.37      252586.73      199717.42      120799.83      
believe         2569135.47     162802.87      265484.63      387270.19      361060.22      320395.89      58108.16       178987.46      88530.15       209768.16      267635.34      170129.31      98963.09       
community       2567370.59     215393.14      192811.92      182903.52      219910.00      191468.65      370622.20      265388.88      178148.08      197247.59      137102.63      100529.25      315844.73      
government      2566341.94     206453.91      352964.80      90189.22       281717.69      145484.45      261544.71      205596.48      242375.59      333610.23      140720.84      80558.60       225125.42      
he              2566196.45     358271.26      151808.14      219023.93      281436.74      27750.11       292084.50      291680.08      56806.52       176256.96      476405.82      48008.80       186663.59      
want            2564355.79     148723.24      334802.06      109983.14      219164.37      363557.60      167663.05      138409.90      358859.41      196834.79      106766.93      135894.42      283696.88      
total           2562992.16     212763.41      99691.34       168701.38      215512.59      315253.11      346830.00      213501.39      335133.93      152194.15      141276.96      187507.74      174626.16      
can             2560720.28     282271.84      227279.81      260921.38      101013.75      119212.46      353626.00      212087.15      295555.54      76791.19       285770.14      211041.65      135149.37      
paper           2558570.35     209111.28      211048.42      231533.76      140627.28      366620.38      117174.79      221094.02      107063.67      127093.99      357075.11      332337.18      137790.47      
continue        2558523.97     308900.25      181553.72      96246.75       193853.39      267883.28      81333.10       379248.31      295456.49      239258.16      126605.30      240041.96      148143.26      
face            2554826.64     217883.29      186078.95      63580.81       311888.22      170083.07      225868.62      180960.40      184487.75      263745.92      278176.68      164526.47      307546.46      
toward          2552739.48     224470.73      197223.61      273132.96      153373.94      312389.49      254093.04      295236.44      81914.41       85798.29       216631.09      292692.59      165782.89      
other           2549772.69     236010.69      66659.98       203059.14      281670.53      278242.43      292523.30      284805.73      97740.06       230355.12      69757.25       179932.78      329015.68      
return          2549505.72     81878.84       168423.16      246176.46      281817.05      139061.93      264701.72      300058.37      166905.91      131701.83      320718.39      293652.48      154409.58      
final           2547913.25     132180.11      38800.27       462375.28      302444.09      66556.42       77153.12       275298.91      221232.92      293735.12      154776.63      264583.18      258777.20      
morning         2547102.12     186604.75      225447.10      361721.20      210685.59      191293.38      267372.79      315647.34      203212.88      92226.40       286419.05      111799.71      94671.93       
three           2544786.73     163884.74      72246.12       106332.75      361225.96      163280.12      247690.76      164431.67      323935.41      179487.57      306588.06      168405.28      287278.29      
write           2541561.05     351976.57      230528.30      330314.06      225382.69      186850.47      84979.35       357043.32      242870.27      122173.29      17253.73       275464.69      116724.31      
view            2539112.99     194803.95      146337.90      101435.68      263669.76      333610.13      222048.51      374780.28      153564.64      44271.34       156637.35      217674.90      330278.55      
then            2538762.60     215500.54      73437.90       220520.18      166501.78      242492.27      505147.52      169722.73      71347.77       88781.35       150195.90      33127.84       601986.82      
police          2537622.65     240386.58      389206.08      91318.04       133331.61      177240.18      108957.10      210862.03      65467.82       267614.96      418735.70      159449.49      275053.06      
base            2536971.63     94067.11       115646.17      580271.48      164938.04      353889.08      291879.10      147349.35      186780.03      26778.18       130203.61      244442.73      200726.75      
much            2536342.81     136806.90      253246.71      49360.24       95183.30       357581.52      356773.37      134065.03      167611.61      408113.78      278149.29      128558.90      170892.16      
everybody       2536118.55     197866.60      111179.59      228137.61      72264.36       202696.22      280246.64      201887.47      267398.42      227040.19      552773.14      48357.22       146271.09      
only            2535258.05     142713.94      59357.87       38830.56       231868.99      291892.94      122713.50      387025.96      234770.75      276464.44      256449.60      150132.82      343036.68      
try             2534991.39     231023.77      271666.64      151228.57      273027.92      207914.93      309561.19      319653.83      134348.39      343546.74      107866.67      145777.05      39375.69       
painting        2534712.19     176128.94      178897.33      353258.96      302106.16      152634.13      124671.44      93798.91       306702.40      212854.59      92533.85       102894.87      438230.61      
admit           2533340.17     153193.54      279172.38      100337.78      188799.91      163107.81      227890.55      150757.14      72157.36       333799.34      547388.86      146538.71      170196.79      
accept          2531469.75     212712.71      159230.93      188656.02      396235.30      154499.00      245615.76      183603.53      130687.98      207471.96      157031.67      304031.15      191693.74      
history         2530642.06     374660.62      64291.83       261329.14      94318.61       235837.62      140898.07      348082.36      169341.84      194253.64      199069.83      162375.69      286182.81      
this            2530260.02     88550.71       292563.70      86720.35       129537.63      250232.40      295134.78      167552.01      228006.96      119480.59      254581.50      333565.33      284334.06      
any             2529054.78     230625.64      89994.79       267451.21      290451.64      371825.12      176571.36      163117.76      152490.14      221261.11      189527.15      160571.88      215166.98      
positive        2528814.82     194938.08      166344.50      479717.29      262946.32      112783.65      234641.07      197916.48      157880.23      265443.41      148365.90      94518.86       213319.03      
contain         2528798.44     450269.27      40480.94       159064.38      157831.67      296051.91      423696.20      165136.59      180324.70      292839.95      82871.44       135238.28      144993.11      
moment          2528301.93     215756.37      99536.59       200378.33      138979.09      220211.31      311969.92      406078.05      231325.72      369822.35      86257.22       153484.02      94502.96       
amount          2528122.95     273314.98      408734.03      187153.44      64116.20       168164.74      97190.97       419956.09      168463.14      113184.37      344534.31      131393.57      151917.11      
consider        2527600.23     117615.94      387793.75      198765.31      151820.93      150220.38      274507.13      247620.47      141725.58      223727.02      282328.04      275861.71      75613.97       
establish       2527278.74     140120.72      323558.63      289190.75      315918.36      42297.85       192932.85      160685.77      273247.16      89878.28       232573.53      82298.41       384576.43      
five            2526166.55     230816.16      77207.64       210030.95      61137.37       247539.57      412644.24      354448.61      85012.17       176136.19      224119.35      113898.13      333176.17      
go              2524042.24     170787.42      164587.11      206853.86      90531.10       227206.05      282898.33      261201.63      172131.03      348535.75      97041.20       413139.09      89129.67       
who             2523903.66     168547.67      178149.93      230520.42      35557.19       170197.18      213574.75      7304.22        298704.29      324662.85      426324.34      76654.48       393706.34      
long            2521158.36     202906.42      207488.72      260757.34      158563.10      205848.46      131295.08      264520.46      289605.38      127243.90      239408.88      164747.74      268772.88      
rule            2513697.39     103037.44      346043.85      232787.36      264663.32      206543.18      206600.18      169460.76      296076.13      149906.11      160307.87      147241.49      231029.70      
through         2512918.02     139981.24      31544.36       243096.13      348225.14      265686.72      329601.40      186240.98      209680.53      128370.30      186600.29      188149.63      255741.30      
