Anul     Ianuarie       Februarie      Martie         Aprilie        Mai            Iunie          Iulie          August         Septembrie     Octombrie      Noiembrie      Decembrie      
1996     3336361.88     2546303.48     2785002.99     3299600.07     3876782.79     3344385.81     2629140.37     3283707.62     3474552.78     3141179.99     2650312.06     2839753.86     
1997     2949306.07     3147462.98     3662490.95     3903796.88     3375749.94     3477281.06     3820546.59     3330013.63     3320105.28     3399743.39     3174852.33     4461836.72     
1998     3139166.35     3404921.57     3463542.13     3085843.78     3679481.28     3366856.20     3280048.59     3666955.76     3122338.24     3368984.77     2817035.62     3146138.62     
1999     3045725.18     2853681.91     3027875.62     3243944.79     3258258.45     3430965.37     3373168.75     3332699.35     3562603.94     3270415.79     3569782.86     3392144.99     
2000     3982925.86     2884944.84     3383405.93     2932889.23     3251780.89     3415189.84     3482691.88     3728919.31     3591017.39     3627068.99     3523635.94     3262562.16     
2001     2820437.37     2708681.64     3830052.29     3285451.64     3913841.74     3715313.12     3799538.05     3467894.67     3448173.07     3860598.38     3048971.99     3208935.34     
2002     2650009.09     3188049.17     3467512.88     3184575.55     3307577.87     3866821.40     4097335.03     3305912.71     3064045.38     3717008.44     3570839.22     2993439.32     
2003     4007669.69     3242148.65     3787681.84     3333861.00     3548048.35     3166470.73     3849806.66     3378754.66     3674026.04     3348223.99     3245578.34     3166829.83     
2004     3754213.53     2636827.45     3336869.66     3429020.73     3544554.35     3395223.18     3440271.29     3386068.52     3091789.71     3785581.32     3393215.43     3933988.93     
2005     3084970.81     3547449.12     3979348.80     3253617.70     3519815.88     2984717.28     3174584.71     3310431.29     3926656.36     3377186.12     3695149.89     3507536.15     
2006     3480066.72     2687983.02     4031983.63     3215128.07     3617696.14     3235994.03     3514690.97     3756326.82     3212584.70     2981892.13     2514519.68     2973713.41     
2007     3404417.34     2734168.92     3458946.54     3351179.24     3250737.48     3191783.21     3128584.42     4408800.20     2723095.88     3662695.54     3523034.28     3224232.52     
2008     3137073.28     2627569.39     2916265.34     3497184.98     3139206.18     3711078.79     3498158.34     3627454.90     2939382.37     3139969.04     2969064.29     3128283.57     
2009     4024179.21     3179362.16     2402543.06     3467973.59     3369726.61     3500996.62     3415352.91     3336874.49     3831303.63     3970803.93     2781046.25     3828107.36     
2010     4107737.63     2457849.05     2985749.18     3565402.18     3609173.97     3386771.40     3693592.39     3082220.32     3695171.49     3869366.84     3086966.25     3414458.74     
2011     3651221.29     2856952.45     3748831.67     3419169.68     2738114.88     3638668.38     2704201.75     3284482.57     3656155.05     3371635.93     3504842.62     3386775.86     
2012     3489904.17     3410284.23     4048389.96     3455338.67     3603966.24     3052365.15     4393355.18     3436525.96     3195376.92     2783807.88     3204877.05     4417996.14     
2013     3212827.10     3086376.21     3322019.93     3260663.84     3459843.78     2315023.63     3765139.83     4327997.64     2861316.93     3660547.63     3202985.32     3418834.43     
2014     3666661.59     3312589.73     3233912.15     3176617.37     3416808.91     3447216.01     3360258.66     3577905.82     3620535.10     3367807.82     3763579.02     3181695.70     
2015     3518224.41     3128500.08     3081222.38     3697348.81     3531766.41     2908666.56     2893996.00     3500618.69     2695468.87     3318323.73     2850652.37     3255376.78     
2016     3671091.33     3416762.00     4007520.40     3450384.44     3449316.27     4008347.81     3876819.52     3201661.66     3897212.57     3576857.28     3558194.32     3944093.81     
2017     3346902.69     3332001.52     3489748.77     3369163.31     3625679.11     3361355.98     3422720.88     3459401.15     4182604.38     3265254.85     4082959.18     3307806.97     
2018     4285180.84     3210906.72     3065203.06     3244123.26     3209630.11     3589373.16     3380173.50     3935378.06     3104721.00     3867921.10     3211370.76     4344258.21     
2019     3778645.88     3031701.18     3157418.39     3467820.87     3433596.78     3774062.86     4086980.02     3444334.40     3039592.01     2885091.01     3516343.68     4087766.80     
2020     3394530.94     3264795.43     3305727.17     3140616.05     3401662.44     2866307.53     3413641.51     3917480.34     2982941.93     3132344.79     3730379.45     3689664.31     
2021     3411574.92     3352948.33     2537619.73     2617253.28     3417895.20     3291057.38     3084800.65     3217498.30     2539190.84     3110538.36     3677492.90     3273526.21     
2022     3072944.98     2856904.14     3923985.03     3925714.43     3471361.12     3936583.10     3033033.50     3222366.88     3310281.22     3838446.59     2849722.94     4149390.04     
2023     3151589.96     3318559.30     3242111.51     3366077.72     3575678.75     4301503.09     3125798.04     3504269.09     3576468.80     3395698.19     3241209.36     3370736.45     
2024     3217424.81     1746088.61     0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
